Produto,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vinagre,-,21.500,8.200,-,35.300,-,288.000,-,-,-,-,-,-,-,-,104.707,-,-,-,-,-,-,45.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.817,-,-,-,53.776,25.800,5.000,25.319,25.367,76.096,10.000,7.500,16.200,9.000
Borra líquida,3.847.673,3.565.644,3.015.037,3.559.922,5.136.979,4.624.839,3.393.173,-,-,-,-,3.767.852,-,-,-,5.095.798,6.357.648,5.142.446,1.953.488,2.426.804,1.282.381,1.649.130,1.400.200,-,-,-,-,-,-,-,9.626.928,8.216.162,8.541.861,3.126.172,1.044.490,526.016,57.333,2.095.873,1.679.775,-,64.304,-,-,63.111,50.954,48.833,24.975,-,255.100,901.431,509.378,116.450,-,758.140
Borra seca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149.981,-,-,78.397,142.850,120.230,82.367,-,70.480,25.996,167.587,16.789,-,17.200
Vinho Composto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.000,-,-,-,-,-,-,160.000,-,-
Pisco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.372,1.000,-,-,-
Vinho orgânico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254.000,171.147,219.100,15.000,85.000,-,137.000,-,-,4.745.442,2.454.500,351.426,4.997.317,3.265.781,8.592.228,-,-,6.705.487,7.584.380,-,-,22.933,307.410,15.000,-,-,5.600,-,-,-,-,-,-,-,-,18.700,93.884,88.890,94.150
Espumante orgânico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.412,-,1.365
Destilado alcoólico simples de bagaceira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,3.000,4.300,-
Vinho acidificado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.000,-,-,2.500
Mosto parcialmente fermentado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,543.510,-,-
Outros derivados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322,247.228,652.301
Total,256.370.050,193.427.885,183.856.017,157.396.674,273.424.403,270.458.942,201.991.040,260.640.605,278.412.379,292.753.538,199.602.262,288.007.812,329.714.915,188.192.984,243.301.354,366.342.434,225.370.115,218.143.328,348.583.277,273.501.862,310.852.196,203.964.281,256.128.761,254.414.073,290.204.367,298.445.592,220.187.527,267.766.792,213.311.110,311.305.882,372.917.110,296.577.759,339.596.005,268.626.278,409.414.862,325.036.531,276.383.491,390.612.839,430.111.599,341.821.764,321.410.393,460.552.267,428.801.600,371.638.669,374.268.255,442.701.714,200.550.344,485.831.789,417.752.863,402.939.258,318.512.191,487.338.750,446.853.712,457.792.870
